Pavarde             Vardas              ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   ND11   ND12   ND13   ND14   ND15   ND16   Egz. 
Pavarde1            Vardas1             9      7      9      10     2      10     4      3      8      4      5      5      5      1      9      8      3      
Pavarde2            Vardas2             9      8      8      5      8      9      7      3      2      6      10     9      9      8      4      10     3      
Pavarde3            Vardas3             4      8      10     4      7      7      1      10     6      6      9      1      10     7      3      10     7      
Pavarde4            Vardas4             7      1      8      3      6      8      8      6      6      4      4      4      10     5      1      9      10     
Pavarde5            Vardas5             10     5      6      9      3      2      10     10     6      10     2      5      4      4      8      5      7      
Pavarde6            Vardas6             5      1      3      7      5      6      7      7      9      7      9      3      3      5      8      9      2      
Pavarde7            Vardas7             6      5      10     3      3      7      10     1      5      10     10     1      3      8      8      10     5      
Pavarde8            Vardas8             7      2      6      10     10     5      6      1      5      9      9      9      3      3      4      5      2      
Pavarde9            Vardas9             7      8      3      1      10     3      7      5      10     5      4      6      9      9      4      5      2      
Pavarde10           Vardas10            3      6      6      6      9      7      9      9      3      2      7      5      4      1      7      10     5      
Pavarde11           Vardas11            4      9      8      5      8      9      5      9      8      6      1      6      3      10     6      2      5      
Pavarde12           Vardas12            2      9      6      3      3      7      10     1      9      3      1      10     1      10     4      5      2      
Pavarde13           Vardas13            9      8      6      2      9      9      9      6      8      4      10     9      1      10     5      5      2      
Pavarde14           Vardas14            7      4      7      4      6      7      6      10     3      4      5      8      4      4      3      10     9      
Pavarde15           Vardas15            8      9      7      2      6      3      2      9      10     3      8      8      5      2      7      6      6      
Pavarde16           Vardas16            9      4      1      9      8      6      9      8      4      3      4      10     10     9      6      9      1      
Pavarde17           Vardas17            6      4      9      7      3      9      2      7      4      6      9      4      5      6      6      8      6      
Pavarde18           Vardas18            6      6      1      9      10     5      9      6      6      1      4      5      4      5      1      3      4      
Pavarde19           Vardas19            2      7      7      10     10     10     7      4      3      9      4      7      6      7      4      4      4      
Pavarde20           Vardas20            3      4      2      7      2      1      10     5      8      1      9      6      10     3      7      9      7      
Pavarde21           Vardas21            5      9      3      1      8      8      8      2      10     5      9      4      2      2      7      2      1      
Pavarde22           Vardas22            1      8      3      5      7      2      8      3      1      8      4      7      3      1      10     2      1      
Pavarde23           Vardas23            1      9      8      9      8      5      8      1      6      10     10     7      2      9      3      5      3      
Pavarde24           Vardas24            3      2      9      4      6      5      6      5      5      8      8      4      1      5      9      10     4      
Pavarde25           Vardas25            1      2      3      10     10     10     3      2      4      2      6      8      4      10     2      10     1      
Pavarde26           Vardas26            1      9      7      8      7      9      6      8      10     10     4      6      1      6      2      4      5      
Pavarde27           Vardas27            5      6      2      7      9      9      7      4      9      4      1      4      8      6      2      10     2      
Pavarde28           Vardas28            2      3      6      1      7      5      8      4      9      6      8      4      4      8      4      2      8      
Pavarde29           Vardas29            9      4      7      3      9      2      6      3      7      2      10     1      9      4      10     6      2      
Pavarde30           Vardas30            5      10     9      10     1      6      2      2      6      6      9      1      7      8      7      6      1      
Pavarde31           Vardas31            2      1      3      5      7      5      5      4      2      7      2      3      6      1      7      2      10     
Pavarde32           Vardas32            4      3      2      9      9      8      4      3      7      3      4      3      6      10     8      1      10     
Pavarde33           Vardas33            10     3      3      9      3      9      4      5      5      2      3      3      7      6      1      10     7      
Pavarde34           Vardas34            7      9      1      4      2      6      5      3      6      4      7      4      5      8      8      5      4      
