Pavarde             Vardas              ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   ND11   Egz. 
Pavarde1            Vardas1             4      4      9      8      2      3      5      8      10     8      7      3      
Pavarde2            Vardas2             9      3      1      10     1      8      10     10     8      4      8      1      
Pavarde3            Vardas3             8      9      9      6      1      1      2      6      10     4      3      7      
Pavarde4            Vardas4             1      5      6      9      2      8      1      9      10     1      10     9      
Pavarde5            Vardas5             1      5      1      6      6      9      6      10     9      7      3      1      
Pavarde6            Vardas6             3      2      5      4      10     1      2      1      2      5      7      1      
Pavarde7            Vardas7             8      7      6      2      6      2      4      4      9      8      5      3      
Pavarde8            Vardas8             4      6      1      4      10     5      1      9      8      8      10     6      
Pavarde9            Vardas9             7      1      8      7      10     10     9      4      4      2      6      5      
Pavarde10           Vardas10            2      8      10     10     4      8      6      5      9      10     1      5      
Pavarde11           Vardas11            9      3      1      7      6      1      1      3      6      1      2      8      
Pavarde12           Vardas12            10     8      6      6      1      1      6      8      7      9      7      7      
Pavarde13           Vardas13            4      7      4      6      4      1      6      9      7      10     9      7      
Pavarde14           Vardas14            4      1      1      9      7      9      1      9      1      3      7      6      
Pavarde15           Vardas15            7      9      3      2      2      5      5      6      3      10     4      3      
Pavarde16           Vardas16            9      6      10     8      6      3      7      6      9      3      7      2      
Pavarde17           Vardas17            6      8      7      5      10     9      2      4      2      9      7      2      
Pavarde18           Vardas18            10     6      2      9      7      2      3      3      7      2      10     6      
Pavarde19           Vardas19            1      2      10     9      6      3      1      2      6      5      2      1      
Pavarde20           Vardas20            4      7      8      10     6      8      9      5      2      9      6      1      
Pavarde21           Vardas21            5      1      8      5      7      8      5      9      2      7      1      2      
Pavarde22           Vardas22            4      3      1      9      7      6      1      4      9      8      8      2      
Pavarde23           Vardas23            1      2      6      6      2      6      2      6      2      2      4      4      
Pavarde24           Vardas24            4      9      2      4      3      8      4      3      10     5      1      6      
Pavarde25           Vardas25            2      6      2      9      8      1      9      4      3      7      2      1      
Pavarde26           Vardas26            3      8      6      4      10     7      8      8      3      10     4      7      
Pavarde27           Vardas27            7      8      8      8      8      3      5      3      4      4      3      3      
Pavarde28           Vardas28            4      10     9      1      2      9      10     10     8      8      8      10     
Pavarde29           Vardas29            5      8      3      3      7      1      10     4      3      3      7      3      
Pavarde30           Vardas30            8      2      4      7      9      5      4      1      3      4      2      8      
Pavarde31           Vardas31            6      7      2      4      3      5      3      5      5      5      7      10     
Pavarde32           Vardas32            4      1      2      1      2      2      2      2      1      10     10     1      
Pavarde33           Vardas33            5      9      1      10     6      6      9      3      10     6      3      6      
Pavarde34           Vardas34            10     1      3      3      8      8      9      3      8      6      1      5      
Pavarde35           Vardas35            2      4      6      4      8      3      8      9      2      9      9      4      
Pavarde36           Vardas36            9      7      10     4      9      6      7      5      7      10     6      7      
Pavarde37           Vardas37            9      6      3      7      2      6      5      8      9      2      1      4      
Pavarde38           Vardas38            1      4      2      8      1      8      9      4      10     1      9      4      
Pavarde39           Vardas39            4      6      9      2      8      5      5      3      6      6      9      8      
Pavarde40           Vardas40            5      6      5      6      8      6      1      2      9      9      10     9      
Pavarde41           Vardas41            1      6      7      1      6      2      7      6      5      1      3      1      
Pavarde42           Vardas42            7      8      7      9      5      10     1      3      7      6      10     7      
Pavarde43           Vardas43            2      9      6      5      6      4      5      2      5      10     8      4      
Pavarde44           Vardas44            8      4      7      6      4      4      9      2      3      9      8      5      
Pavarde45           Vardas45            4      6      7      1      10     6      1      2      6      2      2      7      
Pavarde46           Vardas46            7      6      2      6      1      4      10     5      8      1      2      1      
Pavarde47           Vardas47            6      10     1      2      9      1      1      7      7      10     8      7      
Pavarde48           Vardas48            3      4      1      1      3      10     7      3      5      8      8      1      
